# ISO时间(UTC+8)	qid	答数	备注
2026-09-05T15:45	1920571124745474563	16	上轮复验记录(15:4x)
2026-09-05T15:45	2078443662854330253	0	上轮复验记录(15:4x)·抢首答
2026-09-05T15:45	2078742019149767782	11	上轮复验记录(15:4x)
2026-09-05T15:45	1988688681624684147	16	上轮复验记录(15:4x)
2026-09-05T15:45	2079321719463064463	6	上轮复验记录(15:4x)
2026-09-05T16:13	1920571124745474563	16	本轮实测
2026-09-05T16:13	2078443662854330253	0	本轮实测
2026-09-05T16:13	2078742019149767782	11	本轮实测
2026-09-05T16:13	1988688681624684147	16	本轮实测
2026-09-05T16:13	2079321719463064463	6	本轮实测
